target_station_id,date,hour,period,pickup,dropoff,is_empty_0,is_empty_1,is_full_0,is_full_1
3237,2017-02-05,21,1,0,0,0,30,30,0
3237,2017-02-05,21,2,0,0,0,30,30,0
3237,2017-02-05,22,1,0,0,0,30,30,0
3237,2017-02-05,22,2,0,0,0,30,30,0
3237,2017-02-05,23,1,0,0,0,30,30,0
3237,2017-02-05,23,2,0,0,0,30,30,0
3237,2017-02-06,0,1,0,0,0,30,30,0
3237,2017-02-06,0,2,0,0,0,30,30,0
3237,2017-02-06,1,1,0,0,0,30,30,0
3237,2017-02-06,1,2,0,0,0,30,30,0
3237,2017-02-06,2,1,0,0,0,30,30,0
3237,2017-02-06,2,2,0,0,0,30,30,0
3237,2017-02-06,3,1,0,0,0,30,30,0
3237,2017-02-06,3,2,0,0,0,30,30,0
3237,2017-02-06,4,1,0,0,0,30,30,0
3237,2017-02-06,4,2,0,0,0,30,30,0
3237,2017-02-06,5,1,0,0,0,30,30,0
3237,2017-02-06,5,2,0,0,0,30,30,0
3237,2017-02-06,6,1,0,0,0,30,30,0
3237,2017-02-06,6,2,0,0,0,30,30,0
3237,2017-02-06,7,1,0,0,0,30,30,0
3237,2017-02-06,7,2,0,0,0,30,30,0
3237,2017-02-06,8,1,0,0,0,30,30,0
3237,2017-02-06,8,2,0,0,0,30,30,0
3237,2017-02-06,9,1,0,0,0,30,30,0
3237,2017-02-06,9,2,0,0,0,30,30,0
3237,2017-02-06,10,1,0,0,0,30,30,0
3237,2017-02-06,10,2,0,0,0,30,30,0
3237,2017-02-06,11,1,0,0,0,30,30,0
3237,2017-02-06,11,2,0,0,0,30,30,0
3237,2017-02-06,12,1,0,0,0,30,30,0
3237,2017-02-06,12,2,0,0,0,30,30,0
3237,2017-02-06,13,1,0,0,0,30,30,0
3237,2017-02-06,13,2,0,0,0,30,30,0
3237,2017-02-06,14,1,0,0,0,30,30,0
3237,2017-02-06,14,2,0,0,0,30,30,0
3237,2017-02-06,15,1,0,0,0,30,30,0
3237,2017-02-06,15,2,0,0,0,30,30,0
3237,2017-02-06,16,1,0,0,0,30,30,0
3237,2017-02-06,16,2,0,0,0,30,30,0
3237,2017-02-06,17,1,0,0,0,30,30,0
3237,2017-02-06,17,2,0,0,0,30,30,0
3237,2017-02-06,18,1,0,0,0,30,30,0
3237,2017-02-06,18,2,0,0,0,30,30,0
3237,2017-02-06,19,1,0,0,0,30,30,0
3237,2017-02-06,19,2,0,0,0,30,30,0
3237,2017-02-06,20,1,0,0,0,30,30,0
3237,2017-02-06,20,2,0,0,0,30,30,0
3237,2017-02-06,21,1,0,0,0,30,30,0
3237,2017-02-06,21,2,0,0,0,30,30,0
3237,2017-02-06,22,1,0,0,0,30,30,0
3237,2017-02-06,22,2,0,0,0,30,30,0
3237,2017-02-06,23,1,0,0,0,30,30,0
3237,2017-02-06,23,2,0,0,0,30,30,0
3237,2017-02-07,0,1,0,0,0,30,30,0
3237,2017-02-07,0,2,0,0,0,30,30,0
3237,2017-02-07,1,1,0,0,0,30,30,0
3237,2017-02-07,1,2,0,0,0,30,30,0
3237,2017-02-07,2,1,0,0,0,30,30,0
3237,2017-02-07,2,2,0,0,0,30,30,0
3237,2017-02-07,3,1,0,0,0,30,30,0
3237,2017-02-07,3,2,0,0,0,30,30,0
3237,2017-02-07,4,1,0,0,0,30,30,0
3237,2017-02-07,4,2,0,0,0,30,30,0
3237,2017-02-07,5,1,0,0,0,30,30,0
3237,2017-02-07,5,2,0,0,0,30,30,0
3237,2017-02-07,6,1,0,0,0,30,30,0
3237,2017-02-07,6,2,0,0,0,30,30,0
3237,2017-02-07,7,1,0,0,0,30,30,0
3237,2017-02-07,7,2,0,0,0,30,30,0
3237,2017-02-07,8,1,0,0,0,30,30,0
3237,2017-02-07,8,2,0,0,0,30,30,0
3237,2017-02-07,9,1,0,0,0,30,30,0
3237,2017-02-07,9,2,0,0,0,30,30,0
3237,2017-02-07,10,1,0,0,0,30,30,0
3237,2017-02-07,10,2,0,0,0,30,30,0
3237,2017-02-07,11,1,0,0,0,30,30,0
3237,2017-02-07,11,2,0,0,0,30,30,0
3237,2017-02-07,12,1,0,0,0,30,30,0
3237,2017-02-07,12,2,0,0,0,30,30,0
3237,2017-02-07,13,1,0,0,0,30,30,0
3237,2017-02-07,13,2,0,0,0,30,30,0
3237,2017-02-07,14,1,0,0,0,30,30,0
3237,2017-02-07,14,2,0,0,0,30,30,0
3237,2017-02-07,15,1,0,0,0,30,30,0
3237,2017-02-07,15,2,0,0,0,30,30,0
3237,2017-02-07,16,1,0,0,0,30,30,0
3237,2017-02-07,16,2,0,0,0,30,30,0
3237,2017-02-07,17,1,0,0,0,30,30,0
3237,2017-02-07,17,2,0,0,0,30,30,0
3237,2017-02-07,18,1,0,0,0,30,30,0
3237,2017-02-07,18,2,0,0,0,30,30,0
