target_station_id,nearby_station_id_1,nearby_station_id_2,date,hour,period,pickup,dropoff,"is_empty_(0, 0, 0)","is_empty_(0, 0, 1)","is_empty_(0, 1, 0)","is_empty_(0, 1, 1)","is_empty_(1, 0, 0)","is_empty_(1, 0, 1)","is_empty_(1, 1, 0)","is_empty_(1, 1, 1)","is_full_(0, 0, 0)","is_full_(0, 0, 1)","is_full_(0, 1, 0)","is_full_(0, 1, 1)","is_full_(1, 0, 0)","is_full_(1, 0, 1)","is_full_(1, 1, 0)","is_full_(1, 1, 1)"
519,517,3235,2017-03-12,12,1,3,2,18,12,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,12,2,0,2,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,13,1,2,3,21,9,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,13,2,2,1,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,14,1,2,6,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,14,2,3,3,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,15,1,3,7,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,15,2,3,1,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,16,1,6,5,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,16,2,2,1,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,17,1,3,2,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,17,2,1,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,18,1,3,1,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,18,2,2,2,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,19,1,1,2,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,19,2,1,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,20,1,1,1,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,20,2,1,1,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,21,1,1,2,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,21,2,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,22,1,1,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,22,2,1,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,23,1,1,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-12,23,2,0,1,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,0,1,0,1,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,0,2,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,1,1,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,1,2,0,1,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,2,1,0,1,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,2,2,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,3,1,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,3,2,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,4,1,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,4,2,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
